dt,cl,p',spl
0,0,0,#NUM!
0.0119,0.030504142,0.071431581,71.05720537
0.012,0.034938407,0.081815303,72.23609097
0.0121,0.039065094,0.091478769,73.20580633
0.0122,0.042899375,0.100457509,74.01904818
0.0123,0.046455784,0.108785556,74.71082476
0.0124,0.049748238,0.116495499,75.30558302
0.0125,0.052790062,0.123618542,75.82107244
0.0126,0.05559401,0.13018455,76.27058904
0.0127,0.058172287,0.136222104,76.66435175
0.0128,0.060536569,0.141758545,77.01038504
0.0129,0.062698024,0.146820027,77.31510608
0.013,0.064667332,0.151431558,77.58372787
0.0131,0.066454703,0.155617044,77.82054334
0.0132,0.068069893,0.159399337,78.02913033
0.0133,0.069522227,0.16280027,78.2125025
0.0134,0.070820612,0.165840698,78.37322243
0.0135,0.071973552,0.16854054,78.51348769
0.0136,0.072989169,0.170918811,78.63519734
0.0137,0.073875214,0.172993662,78.74000395
0.0138,0.074639082,0.174782414,78.82935477
0.0139,0.07528783,0.176301588,78.90452458
0.014,0.075828186,0.177566941,78.96664233
0.0141,0.076266565,0.178593494,79.01671274
0.0142,0.076609082,0.179395564,79.0556341
0.0143,0.076861561,0.179986795,79.08421294
0.0144,0.077029551,0.180380178,79.10317631
0.0145,0.077118337,0.180588087,79.11318204
0.0146,0.077132947,0.180622299,79.1148274
0.0147,0.077078167,0.180494021,79.10865647
0.0148,0.076958549,0.180213912,79.09516638
0.0149,0.076778423,0.179792111,79.0748127
0.015,0.076541903,0.179238251,79.04801404
0.0151,0.076252898,0.178561489,79.01515608
0.0152,0.075915124,0.177770522,78.97659503
0.0153,0.075532104,0.176873605,78.93266064
0.0154,0.075107187,0.175878575,78.88365886
0.0155,0.074643546,0.174792866,78.82987416
0.0156,0.074144191,0.173623527,78.77157157
0.0157,0.073611976,0.172377239,78.7089985
0.0158,0.073049604,0.171060333,78.64238633
0.0159,0.072459635,0.169678801,78.57195184
0.016,0.071844491,0.168238318,78.49789845
0.0161,0.071206464,0.16674425,78.42041741
0.0162,0.070547721,0.16520167,78.33968874
0.0163,0.069870309,0.163615373,78.25588221
0.0164,0.069176161,0.161989887,78.16915811
0.0165,0.068467103,0.160329484,78.079668
0.0166,0.067744855,0.158638197,77.98755537
0.0167,0.067011041,0.156919823,77.89295627
0.0168,0.066267188,0.155177941,77.79599981
0.0169,0.065514735,0.153415921,77.6968087
0.017,0.064755034,0.151636929,77.59549968
0.0171,0.063989357,0.149843943,77.49218393
0.0172,0.063218898,0.148039758,77.38696743
0.0173,0.062444777,0.146226997,77.27995134
0.0174,0.061668043,0.144408119,77.17123229
0.0175,0.060889679,0.142585423,77.06090266
0.0176,0.060110604,0.140761063,76.94905086
0.0177,0.059331678,0.13893705,76.83576158
0.0178,0.058553701,0.137115261,76.72111595
0.0179,0.05777742,0.135297443,76.60519186
0.018,0.05700353,0.133485225,76.48806402
0.0181,0.056232678,0.131680118,76.36980423
0.0182,0.055465461,0.129883526,76.2504815
0.0183,0.054702435,0.128096749,76.13016221
0.0184,0.053944114,0.126320986,76.00891023
0.0185,0.053190969,0.124557347,75.88678708
0.0186,0.052443438,0.122806851,75.763852
0.0187,0.051701918,0.121070435,75.64016213
0.0188,0.050966778,0.119348955,75.51577253
0.0189,0.05023835,0.117643196,75.39073635
0.019,0.04951694,0.115953868,75.26510487
0.0191,0.048802822,0.114281617,75.13892759
0.0192,0.048096245,0.112627025,75.01225232
0.0193,0.047397432,0.110990615,74.88512525
0.0194,0.046706584,0.109372854,74.757591
0.0195,0.046023876,0.107774156,74.6296927
0.0196,0.045349464,0.106194885,74.50147205
0.0197,0.044683483,0.104635358,74.37296934
0.0198,0.044026051,0.103095848,74.24422356
0.0199,0.043377266,0.101576587,74.11527238
0.02,0.04273721,0.100077768,73.98615227
0.0201,0.04210595,0.098599547,73.85689845
0.0202,0.041483539,0.097142046,73.72754503
0.0203,0.040870015,0.095705356,73.59812498
0.0204,0.040265404,0.094289537,73.46867016
0.0205,0.039669719,0.092894621,73.33921142
0.0206,0.039082963,0.091520614,73.20977855
0.0207,0.038505128,0.090167497,73.08040037
0.0208,0.037936197,0.08883523,72.95110472
0.0209,0.037376143,0.087523751,72.8219185
0.021,0.036824931,0.086232978,72.69286773
0.0211,0.036282519,0.08496281,72.56397749
0.0212,0.035748856,0.083713133,72.43527202
0.0213,0.035223888,0.082483813,72.30677471
0.0214,0.03470755,0.081274705,72.17850813
0.0215,0.034199775,0.080085649,72.05049404
0.0216,0.033700491,0.078916473,71.92275341
0.0217,0.033209618,0.077766995,71.79530645
0.0218,0.032727074,0.076637023,71.6681726
0.0219,0.032252775,0.075526355,71.54137058
0.022,0.031786629,0.074434781,71.41491841
0.0221,0.031328545,0.073362085,71.28883337
0.0222,0.030878426,0.072308042,71.16313207
0.0223,0.030436175,0.071272422,71.03783046
0.0224,0.030001692,0.070254992,70.91294381
0.0225,0.029574873,0.06925551,70.78848676
0.0226,0.029155616,0.068273735,70.66447331
0.0227,0.028743814,0.067309418,70.54091685
0.0228,0.028339361,0.066362311,70.41783015
0.0229,0.02794215,0.065432161,70.29522542
