time,cl,cl/1000,p' (cl),p'(cl/1000),SPL (cl),SPL (cl/1000),
0,0,0,0,0,#NUM!,#NUM!,#NUM!
0.001,-18.5501725,-0.018550172,-4.343895771,-0.004343896,106.736988,46.73698801,106.736988
0.002,-17.42780305,-0.017427803,-4.081070404,-0.00408107,106.1948818,46.19488183,106.1948818
0.003,-17.48092785,-0.017480928,-4.093510642,-0.004093511,106.2213186,46.22131856,106.2213186
0.004,-17.54271983,-0.01754272,-4.107980477,-0.00410798,106.2519675,46.2519675,106.2519675
0.005,-17.57087552,-0.017570876,-4.114573698,-0.004114574,106.265897,46.265897,106.265897
0.006,-17.62653941,-0.017626539,-4.127608518,-0.004127609,106.2933701,46.29337009,106.2933701
0.007,-16.35984606,-0.016359846,-3.830986807,-0.003830987,105.6456132,45.64561322,105.6456132
0.008,-15.04588846,-0.015045888,-3.523297222,-0.003523297,104.9183857,44.91838571,104.9183857
0.009,-13.78201041,-0.01378201,-3.227334773,-0.003227335,104.1562804,44.15628043,104.1562804
0.01,-12.52470379,-0.012524704,-2.932911154,-0.002932911,103.3253782,43.32537823,103.3253782
0.011,-11.27428033,-0.01127428,-2.640099366,-0.002640099,102.4118055,42.41180554,102.4118055
0.012,-10.03773349,-0.010037733,-2.350537066,-0.002350537,101.4027422,41.40274217,101.4027422
0.013,-8.8519439,-0.008851944,-2.072860599,-0.002072861,100.310802,40.31080202,100.310802
0.014,-7.729794707,-0.007729795,-1.810086808,-0.001810087,99.13338815,39.13338815,99.13338815
0.015,-6.669091028,-0.006669091,-1.561701721,-0.001561702,97.85136186,37.85136186,97.85136186
0.016,-5.717413781,-0.005717414,-1.338847364,-0.001338847,96.51402144,36.51402144,96.51402144
0.017,-4.816711266,-0.004816711,-1.127929764,-0.00112793,95.02504123,35.02504123,95.02504123
0.018,-3.982322635,-0.003982323,-0.932540894,-0.000932541,93.3727578,33.3727578,93.3727578
0.019,-3.217696364,-0.003217696,-0.753488283,-0.000753488,91.52093015,31.52093015,91.52093015
0.02,-2.48272718,-0.002482727,-0.581380475,-0.00058138,89.26860893,29.26860893,89.26860893
0.021,-1.899439253,-0.001899439,-0.444791882,-0.000444792,86.94253713,26.94253713,86.94253713
0.022,-1.394580881,-0.001394581,-0.326569146,-0.000326569,84.2589031,24.2589031,84.2589031
0.023,-0.956291861,-0.000956292,-0.223934962,-0.000223935,80.98183815,20.98183815,80.98183815
0.024,-0.565969403,-0.000565969,-0.132533112,-0.000132533,76.42588803,16.42588803,76.425888
0.025,-0.221886668,-0.000221887,-0.051959223,-5.20E-05,68.29265312,8.292653116,68.29265305
0.026,0.076523629,7.65E-05,0.017919546,1.79E-05,59.04594013,-0.954059875,59.04594013
0.027,0.33124027,0.00033124,0.077566568,7.76E-05,71.77289156,11.77289156,71.77289161
0.028,0.545370054,0.00054537,0.127709361,0.000127709,76.1038547,16.1038547,76.10385472
0.029,0.722505782,0.000722506,0.169189252,0.000169189,78.54685549,18.54685549,78.54685549
0.03,0.86650101,0.000866501,0.202908629,0.000202909,80.12541043,20.12541043,80.12541042
0.031,0.981016529,0.000981017,0.22972474,0.000229725,81.20355545,21.20355545,81.20355546
0.032,1.069436265,0.001069436,0.250429998,0.00025043,81.9531271,21.9531271,81.95312709
0.033,1.134871016,0.001134871,0.265752861,0.000265753,82.46895905,22.46895905,82.46895906
0.034,1.180171497,0.001180171,0.276360879,0.000276361,82.80893139,22.80893139,82.80893139
0.035,1.207937459,0.001207937,0.282862837,0.000282863,83.01091794,23.01091794,83.01091794
0.036,1.220531975,0.001220532,0.285812096,0.000285812,83.10101218,23.10101218,83.10101218
0.037,1.220096936,0.001220097,0.285710223,0.00028571,83.09791569,23.09791569,83.09791569
0.038,1.208568119,0.001208568,0.283010519,0.000283011,83.01545163,23.01545163,83.01545164
0.039,1.187689565,0.00118769,0.278121386,0.000278121,82.86408777,22.86408777,82.86408779
0.04,1.159027422,0.001159027,0.271409569,0.00027141,82.65190319,22.65190319,82.65190319
0.041,1.123983198,0.001123983,0.263203259,0.000263203,82.38522534,22.38522534,82.38522534
0.042,1.083806383,0.001083806,0.25379505,0.000253795,82.06906305,22.06906305,82.06906303
0.043,1.039606454,0.001039606,0.243444749,0.000243445,81.7074083,21.7074083,81.70740832
0.044,0.992364231,0.000992364,0.232382032,0.000232382,81.303451,21.303451,81.30345099
0.045,0.94294261,0.000942943,0.220808966,0.000220809,80.85973418,20.85973418,80.85973417
0.046,0.892096677,0.000892097,0.208902369,0.000208902,80.37826739,20.37826739,80.37826739
0.047,0.840483204,0.000840483,0.196816037,0.000196816,79.86060974,19.86060974,79.86060974
0.048,0.788669553,0.00078867,0.184682829,0.000184683,79.30793046,19.30793046,79.30793046
0.049,0.737141993,0.000737142,0.172616615,0.000172617,78.72105201,18.72105201,78.721052
0.05,0.686313469,0.000686313,0.160714094,0.000160714,78.10047939,18.10047939,78.10047937
0.051,0.636530822,0.000636531,0.149056487,0.000149056,77.44641771,17.44641771,77.44641772
0.052,0.588081501,0.000588082,0.137711105,0.000137711,76.75877932,16.75877932,76.75877935
0.053,0.541199779,0.0005412,0.126732807,0.000126733,76.03718117,16.03718117,76.03718117
0.054,0.496072496,0.000496072,0.116165347,0.000116165,75.28093194,15.28093194,75.28093197
0.055,0.452844363,0.000452844,0.10604261,0.000106043,74.48900829,14.48900829,74.48900825
0.056,0.411622838,0.000411623,0.096389762,9.64E-05,73.6600182,13.6600182,73.66001825
0.057,0.372482599,0.000372483,0.087224288,8.72E-05,72.79214874,12.79214874,72.79214875
0.058,0.335469651,0.00033547,0.078556962,7.86E-05,71.8830937,11.8830937,71.88309368
0.059,0.300605065,0.000300605,0.070392718,7.04E-05,70.92995483,10.92995483,70.92995478
0.06,0.267888386,0.000267888,0.062731451,6.27E-05,69.92910668,9.929106681,69.92910675
0.061,0.237300738,0.000237301,0.055568738,5.56E-05,68.87601073,8.876010732,68.87601076
0.062,0.20880762,0.000208808,0.048896501,4.89E-05,67.7649558,7.764955804,67.76495574
0.063,0.182361441,0.000182361,0.042703597,4.27E-05,66.58868926,6.588689262,66.58868925
0.064,0.157903799,0.000157904,0.036976348,3.70E-05,65.33788051,5.337880509,65.3378804
0.065,0.135367516,0.000135368,0.031699025,3.17E-05,64.00031813,4.000318127,64.00031817
0.066,0.114678464,0.000114678,0.026854268,2.69E-05,62.55966632,2.559666317,62.55966646
0.067,0.095757184,9.58E-05,0.022423469,2.24E-05,60.99345626,0.993456255,60.9934561
0.068,0.078520314,7.85E-05,0.01838711,1.84E-05,59.26966952,-0.730330477,59.26966957
0.069,0.062881856,6.29E-05,0.01472505,1.47E-05,57.34053594,-2.659464062,57.34053565
0.07,0.048754272,4.88E-05,0.011416793,1.14E-05,55.13028256,-4.869717443,55.13028262
0.071,0.036049452,3.60E-05,0.008441704,8.44E-06,52.50800221,-7.491997788,52.50800249
0.072,0.02467953,2.47E-05,0.005779208,5.78E-06,49.21676678,-10.78323322,49.2167666
0.073,0.014557604,1.46E-05,0.003408956,3.41E-06,44.631827,-15.368173,44.631828
0.074,0.005598326,5.60E-06,0.00131096,1.31E-06,36.33119197,-23.66880803,36.3311889
0.075,-0.002281593,-2.28E-06,-0.000534281,-5.34E-07,28.53479241,-31.46520759,28.53479469
0.076,-0.009162967,-9.16E-06,-0.002145693,-2.15E-06,40.61075164,-19.38924836,40.61075177
